Order_ID,Product_ID,User_ID,Order_Date,Product_Category,Product_Price,Order_Quantity,Discount_Applied,Shipping_Method,Payment_Method,User_Age,User_Gender,User_Location,Return_Status,Return_Reason,Days_to_Return,Order_Value,Return_Cost,Profit_Loss,CO2_Emissions,Packaging_Waste,CO2_Saved,Waste_Avoided,Return_Probability
ORD00001,PROD0318,USER1469,2022-01-03,Toys,744.06,5,29.62,Next-Day,Wallet,55,Female,City5,Returned,Size Issue,12,2618.34714,200,2418.34714,2.0,1.0,0.0,0.0,0.9999999986815273
ORD00004,PROD0325,USER0551,2023-06-07,Home Appliances,1770.97,5,44.42,Express,COD,35,Female,City23,Returned,Size Issue,11,4921.52563,200,4721.52563,1.5,1.0,0.0,0.0,0.9999990601060366
ORD00006,PROD0203,USER0684,2022-12-02,Clothing,1486.38,1,42.68,Express,COD,55,Female,City46,Returned,Size Issue,48,851.993016,200,651.993016,1.5,0.2,0.0,0.0,0.9999999240303579
ORD00009,PROD0013,USER1831,2023-07-18,Clothing,841.45,1,29.24,Next-Day,Credit Card,35,Male,City42,Returned,Changed Mind,41,595.41002,200,395.41002,2.0,0.2,0.0,0.0,0.9999999999982072
ORD00011,PROD0289,USER0576,2025-05-02,Clothing,1175.86,4,0.05,Express,Credit Card,50,Male,City5,Returned,Wrong Item,27,4701.08828,200,4501.08828,1.5,0.8,0.0,0.0,0.9999999997499773
ORD00012,PROD0173,USER1287,2024-02-06,Clothing,496.15,5,15.37,Standard,COD,32,Female,City71,Returned,Size Issue,29,2099.458725,200,1899.458725,1.0,1.0,0.0,0.0,0.9999999999999445
ORD00016,PROD0078,USER0631,2023-10-26,Books,1007.44,2,22.33,Next-Day,COD,42,Male,City9,Returned,Wrong Item,28,1564.9572960000005,200,1364.9572960000005,2.0,0.4,0.0,0.0,0.9999999999586979
ORD00021,PROD0080,USER1065,2022-04-30,Toys,489.24,5,34.18,Express,Credit Card,51,Male,City19,Returned,Defective,38,1610.08884,200,1410.08884,1.5,1.0,0.0,0.0,0.9999999999809861
ORD00022,PROD0145,USER1891,2024-11-11,Clothing,586.27,4,49.48,Express,Credit Card,22,Male,City73,Returned,Changed Mind,19,1184.7344160000002,200,984.7344160000002,1.5,0.8,0.0,0.0,0.9999999999986542
ORD00027,PROD0028,USER0581,2024-10-14,Electronics,591.71,3,47.93,Next-Day,Credit Card,45,Male,City1,Returned,Defective,16,924.310191,200,724.3101909999999,2.0,0.6000000000000001,0.0,0.0,0.9999999998271929
ORD00040,PROD0003,USER1050,2022-02-12,Clothing,865.53,3,29.69,Next-Day,Credit Card,21,Female,City13,Returned,Size Issue,11,1825.662429,200,1625.6624290000002,2.0,0.6000000000000001,0.0,0.0,0.9999999999986855
ORD00042,PROD0492,USER0413,2024-07-08,Electronics,1917.35,4,36.66,Express,Debit Card,56,Male,City67,Returned,Size Issue,39,4857.79796,200,4657.79796,1.5,0.8,0.0,0.0,0.9999830926093818
ORD00047,PROD0094,USER1491,2023-09-15,Clothing,1176.05,1,2.52,Standard,Debit Card,51,Female,City45,Returned,Defective,33,1146.41354,200,946.41354,1.0,0.2,0.0,0.0,0.9999999999602316
ORD00049,PROD0008,USER1920,2024-12-30,Electronics,377.98,3,39.94,Standard,COD,22,Male,City80,Returned,Wrong Item,41,681.0443640000001,200,481.0443640000001,1.0,0.6000000000000001,0.0,0.0,0.9999999999999842
ORD00051,PROD0225,USER1296,2024-09-17,Books,1367.73,1,49.26,Standard,Wallet,49,Female,City68,Returned,Size Issue,5,693.9862020000002,200,493.98620200000016,1.0,0.2,0.0,0.0,0.9999997554863448
ORD00058,PROD0394,USER1053,2025-08-14,Electronics,494.88,3,49.44,Standard,Wallet,28,Female,City9,Returned,Changed Mind,12,750.633984,200,550.633984,1.0,0.6000000000000001,0.0,0.0,0.9999999999970823
ORD00064,PROD0217,USER0542,2025-01-23,Toys,1448.92,3,48.41,Standard,Debit Card,39,Female,City77,Returned,Defective,22,2242.493484,200,2042.493484,1.0,0.6000000000000001,0.0,0.0,0.9999999595861083
ORD00067,PROD0423,USER0554,2024-03-16,Electronics,480.72,1,4.58,Next-Day,Debit Card,64,Female,City63,Returned,Defective,33,458.703024,200,258.703024,2.0,0.2,0.0,0.0,0.9999999999963969
ORD00068,PROD0398,USER1020,2024-03-09,Electronics,1600.22,4,22.26,Next-Day,Credit Card,40,Female,City99,Returned,Wrong Item,31,4976.044112,200,4776.044112,2.0,0.8,0.0,0.0,0.9999999877824702
ORD00072,PROD0456,USER0595,2024-08-19,Clothing,557.77,2,34.84,Next-Day,COD,27,Male,City62,Returned,Defective,58,726.885864,200,526.885864,2.0,0.4,0.0,0.0,0.9999999999999669
ORD00075,PROD0096,USER0161,2025-06-16,Toys,1709.0,3,44.94,Standard,Wallet,31,Male,City62,Returned,Wrong Item,51,2822.9262,200,2622.9262,1.0,0.6000000000000001,0.0,0.0,0.9999999924992286
ORD00079,PROD0168,USER0144,2022-05-17,Electronics,143.57,5,29.55,Express,Debit Card,64,Female,City4,Returned,Defective,27,505.725325,200,305.72532499999994,1.5,1.0,0.0,0.0,0.9999999999861253
ORD00085,PROD0125,USER0849,2022-04-01,Electronics,1438.49,4,30.91,Standard,Wallet,38,Female,City11,Returned,Wrong Item,59,3975.4109640000006,200,3775.4109640000006,1.0,0.8,0.0,0.0,0.9999999991643258
ORD00087,PROD0137,USER0245,2025-05-15,Home Appliances,426.66,4,41.82,Express,Debit Card,46,Male,City33,Returned,Defective,14,992.923152,200,792.9231520000001,1.5,0.8,0.0,0.0,0.9999999999671962
ORD00095,PROD0383,USER1546,2023-09-21,Home Appliances,1242.99,4,1.98,Next-Day,Credit Card,36,Female,City91,Returned,Changed Mind,30,4873.515192,200,4673.515192,2.0,0.8,0.0,0.0,0.9999999999765796
ORD00097,PROD0239,USER1150,2024-07-06,Toys,1461.39,2,47.75,Standard,Debit Card,65,Male,City44,Returned,Defective,21,1527.15255,200,1327.15255,1.0,0.4,0.0,0.0,0.9999918497206389
ORD00099,PROD0170,USER0524,2023-09-27,Clothing,1941.29,1,31.5,Standard,Debit Card,56,Female,City59,Returned,Size Issue,15,1329.78365,200,1129.78365,1.0,0.2,0.0,0.0,0.9999944895157938
ORD00108,PROD0152,USER1311,2023-08-14,Electronics,1279.89,3,47.92,Next-Day,Credit Card,65,Male,City4,Returned,Wrong Item,57,1999.700136,200,1799.7001359999997,2.0,0.6000000000000001,0.0,0.0,0.9999996542340058
ORD00109,PROD0290,USER1588,2022-01-13,Clothing,1074.14,4,37.59,Standard,Wallet,53,Male,City15,Returned,Size Issue,40,2681.4830960000004,200,2481.4830960000004,1.0,0.8,0.0,0.0,0.9999999944728699
ORD00110,PROD0355,USER0594,2022-01-26,Home Appliances,1908.74,4,32.64,Express,Debit Card,56,Female,City22,Returned,Wrong Item,8,5142.909056,200,4942.909056,1.5,0.8,0.0,0.0,0.9999325244120225
ORD00111,PROD0046,USER0085,2025-04-06,Clothing,736.43,5,27.77,Next-Day,Credit Card,29,Female,City14,Returned,Wrong Item,22,2659.6169449999998,200,2459.6169449999998,2.0,1.0,0.0,0.0,0.9999999999980842
ORD00113,PROD0161,USER1768,2025-02-20,Clothing,685.74,3,44.47,Express,Credit Card,60,Male,City82,Returned,Changed Mind,29,1142.3742660000005,200,942.3742660000004,1.5,0.6000000000000001,0.0,0.0,0.999999997059897
ORD00116,PROD0155,USER0521,2022-03-15,Clothing,1146.16,2,27.91,Next-Day,Credit Card,19,Male,City14,Returned,Size Issue,23,1652.533488,200,1452.533488,2.0,0.4,0.0,0.0,0.999999999997671
ORD00119,PROD0364,USER0784,2023-04-05,Clothing,458.97,3,5.78,Next-Day,Wallet,57,Female,City86,Returned,Wrong Item,57,1297.324602,200,1097.324602,2.0,0.6000000000000001,0.0,0.0,0.9999999999996858
ORD00120,PROD0105,USER0041,2022-04-04,Toys,532.51,5,10.6,Standard,Credit Card,50,Male,City17,Returned,Wrong Item,24,2380.3197,200,2180.3197,1.0,1.0,0.0,0.0,0.9999999999969786
ORD00121,PROD0093,USER1529,2022-06-21,Clothing,1331.15,2,48.6,Express,COD,22,Male,City81,Returned,Size Issue,30,1368.4222000000002,200,1168.4222000000002,1.5,0.4,0.0,0.0,0.9999999998378599
ORD00122,PROD0250,USER0296,2024-05-17,Clothing,946.7,5,14.76,Express,COD,62,Female,City66,Returned,Changed Mind,52,4034.8354,200,3834.8354,1.5,1.0,0.0,0.0,0.9999999992668287
ORD00123,PROD0428,USER0763,2023-10-16,Clothing,417.32,3,28.66,Standard,Debit Card,31,Female,City30,Returned,Size Issue,15,893.148264,200,693.148264,1.0,0.6000000000000001,0.0,0.0,0.999999999999829
ORD00125,PROD0430,USER1987,2023-01-30,Books,473.42,2,33.85,Standard,Credit Card,36,Female,City70,Returned,Size Issue,24,626.33466,200,426.33466,1.0,0.4,0.0,0.0,0.9999999999992308
ORD00126,PROD0218,USER0684,2023-04-19,Books,1585.84,2,34.48,Express,COD,56,Female,City7,Returned,Defective,11,2078.084736,200,1878.084736,1.5,0.4,0.0,0.0,0.9999988311056033
ORD00130,PROD0496,USER0863,2023-03-08,Electronics,914.71,4,35.98,Standard,Credit Card,33,Female,City23,Returned,Size Issue,52,2342.389368000001,200,2142.389368000001,1.0,0.8,0.0,0.0,0.9999999999928508
ORD00133,PROD0110,USER0089,2023-12-03,Home Appliances,881.01,3,5.55,Express,Credit Card,55,Female,City38,Returned,Size Issue,25,2496.341835,200,2296.341835,1.5,0.6000000000000001,0.0,0.0,0.999999999942659
ORD00137,PROD0173,USER0512,2025-07-24,Books,1111.15,2,38.45,Next-Day,Debit Card,59,Male,City7,Returned,Size Issue,6,1367.82565,200,1167.82565,2.0,0.4,0.0,0.0,0.9999998942799054
ORD00138,PROD0190,USER1852,2023-10-15,Electronics,1524.97,3,3.22,Express,Wallet,33,Female,City88,Returned,Defective,34,4427.597898,200,4227.597898,1.5,0.6000000000000001,0.0,0.0,0.9999999999304932
ORD00139,PROD0132,USER0147,2025-01-16,Clothing,625.21,1,49.46,Standard,Wallet,60,Female,City42,Returned,Size Issue,40,315.98113400000005,200,115.98113400000004,1.0,0.2,0.0,0.0,0.9999999988373165
ORD00140,PROD0149,USER1549,2024-06-18,Clothing,1968.23,5,33.76,Next-Day,Debit Card,55,Male,City93,Returned,Wrong Item,31,6518.777760000001,200,6318.777760000001,2.0,1.0,0.0,0.0,0.9999445950697325
ORD00152,PROD0216,USER1302,2025-03-21,Toys,1274.11,5,36.93,Express,Credit Card,26,Male,City46,Returned,Size Issue,38,4017.905885,200,3817.905885,1.5,1.0,0.0,0.0,0.999999999849843
ORD00153,PROD0341,USER0307,2023-07-01,Books,1301.74,2,22.62,Next-Day,Debit Card,65,Female,City15,Returned,Size Issue,41,2014.572824,200,1814.572824,2.0,0.4,0.0,0.0,0.9999999665710675
ORD00160,PROD0451,USER1708,2024-09-07,Electronics,1675.33,4,28.08,Express,COD,65,Female,City57,Returned,Size Issue,39,4819.589344,200,4619.589344,1.5,0.8,0.0,0.0,0.999993893176444
ORD00161,PROD0434,USER1855,2024-10-19,Electronics,590.11,4,28.4,Standard,COD,34,Female,City14,Returned,Changed Mind,24,1690.07504,200,1490.07504,1.0,0.8,0.0,0.0,0.9999999999989428
ORD00168,PROD0079,USER0334,2024-06-27,Books,138.47,1,31.4,Express,Credit Card,45,Female,City92,Returned,Wrong Item,13,94.99042,200,-105.00958,1.5,0.2,0.0,0.0,0.999999999999537
ORD00173,PROD0130,USER0651,2025-04-29,Home Appliances,1746.7,2,32.85,Standard,Credit Card,61,Male,City13,Returned,Size Issue,9,2345.8181,200,2145.8181,1.0,0.4,0.0,0.0,0.9999880360376608
ORD00178,PROD0184,USER0804,2025-05-21,Clothing,1133.31,3,21.07,Express,Wallet,35,Male,City28,Returned,Wrong Item,55,2683.564749,200,2483.564749,1.5,0.6000000000000001,0.0,0.0,0.9999999999926639
ORD00183,PROD0235,USER1203,2023-12-17,Clothing,605.78,3,24.02,Express,Credit Card,44,Female,City14,Returned,Wrong Item,52,1380.814932,200,1180.814932,1.5,0.6000000000000001,0.0,0.0,0.9999999999990892
ORD00187,PROD0218,USER1422,2023-08-05,Clothing,324.76,4,18.99,Next-Day,COD,28,Female,City88,Returned,Wrong Item,35,1052.352304,200,852.352304,2.0,0.8,0.0,0.0,0.9999999999999958
ORD00192,PROD0238,USER0699,2022-03-12,Books,166.57,3,24.18,Next-Day,Credit Card,64,Female,City33,Returned,Size Issue,10,378.880122,200,178.88012199999997,2.0,0.6000000000000001,0.0,0.0,0.9999999999804103
ORD00195,PROD0302,USER1422,2023-08-24,Clothing,285.79,2,29.11,Next-Day,Debit Card,53,Female,City29,Returned,Size Issue,42,405.19306200000005,200,205.19306200000003,2.0,0.4,0.0,0.0,0.999999999998743
ORD00196,PROD0183,USER1310,2025-06-05,Clothing,1177.17,1,14.17,Next-Day,Debit Card,54,Male,City46,Returned,Changed Mind,31,1010.365011,200,810.3650110000001,2.0,0.2,0.0,0.0,0.9999999996049795
ORD00198,PROD0280,USER0658,2022-09-14,Electronics,981.26,2,4.69,Express,Credit Card,41,Female,City81,Returned,Defective,50,1870.477812,200,1670.477812,1.5,0.4,0.0,0.0,0.9999999999991989
ORD00200,PROD0129,USER1419,2022-12-20,Clothing,758.33,2,36.86,Standard,COD,31,Male,City49,Returned,Wrong Item,7,957.619124,200,757.6191239999999,1.0,0.4,0.0,0.0,0.9999999999894402
ORD00202,PROD0312,USER1464,2022-10-01,Clothing,527.98,1,36.39,Next-Day,COD,62,Male,City15,Returned,Size Issue,54,335.848078,200,135.848078,2.0,0.2,0.0,0.0,0.9999999999336302
ORD00206,PROD0486,USER1888,2022-04-03,Electronics,458.8,3,0.71,Standard,Wallet,38,Male,City26,Returned,Changed Mind,30,1366.62756,200,1166.62756,1.0,0.6000000000000001,0.0,0.0,0.9999999999999871
ORD00209,PROD0066,USER0480,2025-07-12,Clothing,1862.17,5,43.1,Express,Debit Card,29,Female,City6,Returned,Size Issue,30,5297.87365,200,5097.87365,1.5,1.0,0.0,0.0,0.9999998327884614
ORD00213,PROD0128,USER0112,2024-12-28,Home Appliances,404.55,3,12.33,Next-Day,Credit Card,46,Female,City3,Returned,Wrong Item,36,1064.006955,200,864.0069550000001,2.0,0.6000000000000001,0.0,0.0,0.9999999999998579
ORD00220,PROD0029,USER1866,2024-11-13,Clothing,607.92,1,33.23,Standard,Wallet,27,Male,City21,Returned,Defective,5,405.908184,200,205.90818399999995,1.0,0.2,0.0,0.0,0.9999999999992757
ORD00223,PROD0023,USER1443,2023-05-19,Toys,365.59,2,21.84,Express,Debit Card,64,Female,City97,Returned,Changed Mind,8,571.490288,200,371.490288,1.5,0.4,0.0,0.0,0.999999999924176
ORD00224,PROD0389,USER0348,2023-04-19,Books,1121.61,4,11.12,Express,Debit Card,27,Male,City14,Returned,Changed Mind,23,3987.547872,200,3787.547872,1.5,0.8,0.0,0.0,0.9999999999957125
ORD00228,PROD0139,USER0262,2023-10-15,Home Appliances,1921.54,4,4.71,Next-Day,Debit Card,40,Male,City36,Returned,Defective,60,7324.141863999999,200,7124.141863999999,2.0,0.8,0.0,0.0,0.9999999919803703
ORD00230,PROD0258,USER1741,2023-11-21,Home Appliances,1451.41,2,47.53,Express,Wallet,58,Male,City90,Returned,Size Issue,33,1523.109654,200,1323.109654,1.5,0.4,0.0,0.0,0.999999213515654
ORD00236,PROD0336,USER0461,2022-01-19,Clothing,403.51,1,26.69,Express,Debit Card,49,Male,City69,Returned,Changed Mind,10,295.813181,200,95.813181,1.5,0.2,0.0,0.0,0.99999999999445
ORD00238,PROD0229,USER0601,2023-12-31,Toys,245.63,3,19.37,Express,Debit Card,36,Female,City91,Returned,Defective,18,594.154407,200,394.154407,1.5,0.6000000000000001,0.0,0.0,0.9999999999999711
ORD00240,PROD0457,USER0778,2023-03-02,Electronics,1634.38,3,48.46,Standard,COD,42,Female,City39,Returned,Changed Mind,57,2527.078356,200,2327.078356,1.0,0.6000000000000001,0.0,0.0,0.9999999547813188
ORD00245,PROD0339,USER0213,2025-04-25,Clothing,1896.19,5,10.92,Standard,Credit Card,46,Female,City28,Returned,Size Issue,43,8445.630260000002,200,8245.630260000002,1.0,1.0,0.0,0.0,0.9999997068201605
ORD00250,PROD0102,USER0506,2024-07-16,Electronics,1650.69,1,23.94,Standard,Wallet,63,Male,City85,Returned,Changed Mind,36,1255.514814,200,1055.514814,1.0,0.2,0.0,0.0,0.9999997060725556
ORD00251,PROD0202,USER1478,2023-06-13,Electronics,1822.39,4,43.06,Standard,Credit Card,36,Female,City16,Returned,Changed Mind,16,4150.675464,200,3950.675464,1.0,0.8,0.0,0.0,0.9999993239721854
ORD00265,PROD0463,USER1836,2022-07-30,Clothing,1848.18,4,32.08,Express,Credit Card,64,Female,City36,Returned,Size Issue,60,5021.135424,200,4821.135424,1.5,0.8,0.0,0.0,0.9999902268530736
ORD00283,PROD0452,USER0841,2023-10-02,Books,1402.05,3,26.39,Next-Day,Wallet,40,Female,City10,Returned,Changed Mind,11,3096.147015,200,2896.147015,2.0,0.6000000000000001,0.0,0.0,0.9999999944143836
ORD00284,PROD0079,USER1147,2022-08-28,Electronics,1409.97,5,35.54,Standard,COD,29,Female,City89,Returned,Size Issue,42,4544.333310000001,200,4344.333310000001,1.0,1.0,0.0,0.0,0.9999999993160338
ORD00285,PROD0112,USER0196,2024-10-05,Electronics,856.94,3,4.9,Standard,Wallet,46,Female,City70,Returned,Changed Mind,5,2444.84982,200,2244.84982,1.0,0.6000000000000001,0.0,0.0,0.9999999999803033
