Order_ID,Product_ID,User_ID,Order_Date,Product_Category,Product_Price,Order_Quantity,Discount_Applied,Shipping_Method,Payment_Method,User_Age,User_Gender,User_Location,Return_Status,Return_Reason,Days_to_Return,Order_Value,Return_Cost,Profit_Loss,CO2_Emissions,Packaging_Waste,CO2_Saved,Waste_Avoided
ORD00000,PROD0169,USER0195,2022-01-14,Clothing,1720.71,2,30.46,Next-Day,Wallet,57,Female,City27,Not Returned,No Return,0,2393.163468,0,2393.163468,2.0,0.4,2.0,0.4
ORD00001,PROD0318,USER1469,2022-01-03,Toys,744.06,5,29.62,Next-Day,Wallet,55,Female,City5,Returned,Size Issue,12,2618.34714,200,2418.34714,2.0,1.0,0.0,0.0
ORD00002,PROD0427,USER1812,2025-03-16,Clothing,983.68,5,47.8,Express,Wallet,37,Female,City11,Not Returned,No Return,0,2567.4048,0,2567.4048,1.5,1.0,1.5,1.0
ORD00003,PROD0323,USER1274,2024-11-06,Books,1855.65,2,2.9,Express,COD,47,Female,City78,Not Returned,No Return,0,3603.6723,0,3603.6723,1.5,0.4,1.5,0.4
ORD00004,PROD0325,USER0551,2023-06-07,Home Appliances,1770.97,5,44.42,Express,COD,35,Female,City23,Returned,Size Issue,11,4921.52563,200,4721.52563,1.5,1.0,0.0,0.0
ORD00005,PROD0490,USER1533,2024-08-04,Home Appliances,591.59,5,42.65,Express,COD,30,Female,City20,Not Returned,No Return,0,1696.3843250000002,0,1696.3843250000002,1.5,1.0,1.5,1.0
ORD00006,PROD0203,USER0684,2022-12-02,Clothing,1486.38,1,42.68,Express,COD,55,Female,City46,Returned,Size Issue,48,851.993016,200,651.993016,1.5,0.2,0.0,0.0
ORD00007,PROD0309,USER1428,2023-11-27,Home Appliances,867.83,5,32.64,Standard,Wallet,25,Female,City23,Not Returned,No Return,0,2922.8514400000004,0,2922.8514400000004,1.0,1.0,1.0,1.0
ORD00008,PROD0477,USER0362,2023-02-11,Books,900.07,2,35.09,Express,Wallet,63,Female,City94,Not Returned,No Return,0,1168.470874,0,1168.470874,1.5,0.4,1.5,0.4
ORD00009,PROD0013,USER1831,2023-07-18,Clothing,841.45,1,29.24,Next-Day,Credit Card,35,Male,City42,Returned,Changed Mind,41,595.41002,200,395.41002000000003,2.0,0.2,0.0,0.0
ORD00010,PROD0272,USER1163,2023-08-06,Toys,878.28,4,4.55,Next-Day,Wallet,45,Female,City31,Not Returned,No Return,0,3353.27304,0,3353.27304,2.0,0.8,2.0,0.8
ORD00011,PROD0289,USER0576,2025-05-02,Clothing,1175.86,4,0.05,Express,Credit Card,50,Male,City5,Returned,Wrong Item,27,4701.08828,200,4501.08828,1.5,0.8,0.0,0.0
ORD00012,PROD0173,USER1287,2024-02-06,Clothing,496.15,5,15.37,Standard,COD,32,Female,City71,Returned,Size Issue,29,2099.458725,200,1899.458725,1.0,1.0,0.0,0.0
ORD00013,PROD0340,USER0436,2024-04-01,Home Appliances,724.15,4,46.64,Next-Day,COD,28,Female,City83,Not Returned,No Return,0,1545.6257600000001,0,1545.6257600000001,2.0,0.8,2.0,0.8
ORD00014,PROD0051,USER1263,2022-07-13,Home Appliances,402.42,4,46.79,Next-Day,Credit Card,30,Male,City46,Not Returned,No Return,0,856.5107280000001,0,856.5107280000001,2.0,0.8,2.0,0.8
ORD00015,PROD0216,USER0527,2023-12-25,Clothing,1028.52,1,17.98,Standard,Debit Card,61,Male,City78,Not Returned,No Return,0,843.5921040000001,0,843.5921040000001,1.0,0.2,1.0,0.2
ORD00016,PROD0078,USER0631,2023-10-26,Books,1007.44,2,22.33,Next-Day,COD,42,Male,City9,Returned,Wrong Item,28,1564.9572960000003,200,1364.9572960000003,2.0,0.4,0.0,0.0
ORD00017,PROD0497,USER0293,2024-04-11,Clothing,1511.97,3,29.6,Next-Day,Debit Card,61,Female,City66,Not Returned,No Return,0,3193.2806399999995,0,3193.2806399999995,2.0,0.6000000000000001,2.0,0.6000000000000001
ORD00018,PROD0091,USER1037,2024-09-26,Clothing,1407.13,1,26.76,Next-Day,Wallet,27,Male,City50,Not Returned,No Return,0,1030.582012,0,1030.582012,2.0,0.2,2.0,0.2
ORD00019,PROD0313,USER1388,2024-05-12,Electronics,118.47,3,30.4,Standard,COD,59,Male,City36,Not Returned,No Return,0,247.36535999999995,0,247.36535999999995,1.0,0.6000000000000001,1.0,0.6000000000000001
ORD00020,PROD0453,USER0995,2022-12-06,Home Appliances,677.02,3,24.19,Next-Day,Credit Card,63,Male,City69,Not Returned,No Return,0,1539.746586,0,1539.746586,2.0,0.6000000000000001,2.0,0.6000000000000001
ORD00021,PROD0080,USER1065,2022-04-30,Toys,489.24,5,34.18,Express,Credit Card,51,Male,City19,Returned,Defective,38,1610.08884,200,1410.08884,1.5,1.0,0.0,0.0
ORD00022,PROD0145,USER1891,2024-11-11,Clothing,586.27,4,49.48,Express,Credit Card,22,Male,City73,Returned,Changed Mind,19,1184.7344160000002,200,984.7344160000002,1.5,0.8,0.0,0.0
ORD00023,PROD0197,USER1924,2023-03-14,Clothing,1450.25,2,19.1,Next-Day,Wallet,48,Female,City93,Not Returned,No Return,0,2346.5045,0,2346.5045,2.0,0.4,2.0,0.4
ORD00024,PROD0245,USER0556,2024-10-27,Electronics,1817.2,5,27.56,Next-Day,Debit Card,40,Male,City46,Not Returned,No Return,0,6581.898399999999,0,6581.898399999999,2.0,1.0,2.0,1.0
ORD00025,PROD0023,USER1072,2024-12-25,Electronics,926.6,1,12.24,Standard,Credit Card,40,Female,City34,Not Returned,No Return,0,813.1841599999999,0,813.1841599999999,1.0,0.2,1.0,0.2
ORD00026,PROD0282,USER0720,2022-12-09,Electronics,474.4,4,28.41,Standard,Debit Card,57,Male,City97,Not Returned,No Return,0,1358.49184,0,1358.49184,1.0,0.8,1.0,0.8
ORD00027,PROD0028,USER0581,2024-10-14,Electronics,591.71,3,47.93,Next-Day,Credit Card,45,Male,City1,Returned,Defective,16,924.3101909999999,200,724.3101909999999,2.0,0.6000000000000001,0.0,0.0
ORD00028,PROD0021,USER0081,2023-10-21,Books,1954.61,2,4.97,Standard,Wallet,29,Male,City63,Not Returned,No Return,0,3714.931766,0,3714.931766,1.0,0.4,1.0,0.4
ORD00029,PROD0109,USER1556,2024-05-08,Clothing,1986.39,5,49.57,Express,Debit Card,20,Female,City33,Not Returned,No Return,0,5008.682385,0,5008.682385,1.5,1.0,1.5,1.0
ORD00030,PROD0348,USER0622,2022-06-05,Clothing,1958.01,1,13.84,Standard,Wallet,53,Female,City35,Not Returned,No Return,0,1687.021416,0,1687.021416,1.0,0.2,1.0,0.2
ORD00031,PROD0222,USER0715,2022-10-25,Electronics,1129.86,5,47.92,Standard,Debit Card,61,Male,City60,Not Returned,No Return,0,2942.155439999999,0,2942.155439999999,1.0,1.0,1.0,1.0
ORD00032,PROD0196,USER0816,2024-11-13,Electronics,965.69,3,22.26,Express,Wallet,57,Female,City68,Not Returned,No Return,0,2252.182218,0,2252.182218,1.5,0.6000000000000001,1.5,0.6000000000000001
ORD00033,PROD0257,USER0501,2024-06-04,Clothing,1222.91,4,34.81,Next-Day,Debit Card,55,Male,City89,Not Returned,No Return,0,3188.860116,0,3188.860116,2.0,0.8,2.0,0.8
ORD00034,PROD0214,USER1455,2023-02-22,Books,558.64,1,24.01,Standard,Debit Card,51,Female,City51,Not Returned,No Return,0,424.510536,0,424.510536,1.0,0.2,1.0,0.2
ORD00035,PROD0125,USER1993,2025-02-05,Toys,1315.41,4,16.13,Next-Day,COD,50,Male,City77,Not Returned,No Return,0,4412.937468,0,4412.937468,2.0,0.8,2.0,0.8
ORD00036,PROD0395,USER1631,2025-02-04,Books,1762.82,3,22.88,Next-Day,Credit Card,18,Male,City77,Not Returned,No Return,0,4078.460352,0,4078.460352,2.0,0.6000000000000001,2.0,0.6000000000000001
ORD00037,PROD0234,USER0604,2025-03-18,Home Appliances,1539.1,4,38.93,Express,Wallet,49,Female,City20,Not Returned,No Return,0,3759.71348,0,3759.71348,1.5,0.8,1.5,0.8
ORD00038,PROD0112,USER1410,2022-04-16,Toys,1673.32,4,8.59,Standard,Credit Card,59,Female,City69,Not Returned,No Return,0,6118.327248,0,6118.327248,1.0,0.8,1.0,0.8
ORD00039,PROD0414,USER1901,2022-05-16,Books,228.03,2,40.43,Express,Credit Card,63,Female,City78,Not Returned,No Return,0,271.674942,0,271.674942,1.5,0.4,1.5,0.4
ORD00040,PROD0003,USER1050,2022-02-12,Clothing,865.53,3,29.69,Next-Day,Credit Card,21,Female,City13,Returned,Size Issue,11,1825.6624290000002,200,1625.6624290000002,2.0,0.6000000000000001,0.0,0.0
ORD00041,PROD0031,USER0297,2024-04-01,Toys,867.44,3,41.84,Express,Wallet,56,Male,City74,Not Returned,No Return,0,1513.509312,0,1513.509312,1.5,0.6000000000000001,1.5,0.6000000000000001
ORD00042,PROD0492,USER0413,2024-07-08,Electronics,1917.35,4,36.66,Express,Debit Card,56,Male,City67,Returned,Size Issue,39,4857.79796,200,4657.79796,1.5,0.8,0.0,0.0
ORD00043,PROD0153,USER1690,2023-11-13,Clothing,823.66,3,21.65,Express,Debit Card,43,Female,City37,Not Returned,No Return,0,1936.01283,0,1936.01283,1.5,0.6000000000000001,1.5,0.6000000000000001
ORD00044,PROD0401,USER1760,2024-03-26,Clothing,637.2,4,5.14,Express,COD,41,Female,City79,Not Returned,No Return,0,2417.7916800000003,0,2417.7916800000003,1.5,0.8,1.5,0.8
ORD00045,PROD0124,USER1834,2025-08-11,Electronics,614.11,5,0.79,Next-Day,Debit Card,42,Male,City81,Not Returned,No Return,0,3046.292655,0,3046.292655,2.0,1.0,2.0,1.0
ORD00046,PROD0043,USER0750,2022-12-09,Clothing,627.61,1,46.58,Standard,COD,53,Male,City63,Not Returned,No Return,0,335.269262,0,335.269262,1.0,0.2,1.0,0.2
ORD00047,PROD0094,USER1491,2023-09-15,Clothing,1176.05,1,2.52,Standard,Debit Card,51,Female,City45,Returned,Defective,33,1146.41354,200,946.41354,1.0,0.2,0.0,0.0
ORD00048,PROD0187,USER0615,2024-12-25,Clothing,1773.1,5,32.55,Express,Wallet,29,Male,City86,Not Returned,No Return,0,5979.779750000001,0,5979.779750000001,1.5,1.0,1.5,1.0
ORD00049,PROD0008,USER1920,2024-12-30,Electronics,377.98,3,39.94,Standard,COD,22,Male,City80,Returned,Wrong Item,41,681.0443640000001,200,481.0443640000001,1.0,0.6000000000000001,0.0,0.0
ORD00050,PROD0475,USER0568,2022-02-18,Toys,1191.75,4,22.81,Express,Wallet,65,Female,City22,Not Returned,No Return,0,3679.6473,0,3679.6473,1.5,0.8,1.5,0.8
ORD00051,PROD0225,USER1296,2024-09-17,Books,1367.73,1,49.26,Standard,Wallet,49,Female,City68,Returned,Size Issue,5,693.9862020000002,200,493.98620200000016,1.0,0.2,0.0,0.0
